연도,구,행정동,총인구,남자,여자
2021,상록구,반월동,17516,8837,8679
2021,상록구,본오1동,37238,19342,17896
2021,상록구,본오2동,26186,12989,13197
2021,상록구,본오3동,19572,9743,9829
2021,상록구,부곡동,21624,11108,10516
2021,상록구,사동,32603,17137,15466
2021,상록구,사이동,32581,16491,16090
2021,상록구,성포동,26272,12847,13425
2021,상록구,안산동,9130,4794,4336
2021,상록구,월피동,38102,19447,18655
2021,상록구,이동,23874,12812,11062
2021,상록구,일동,24691,12606,12085
2021,상록구,해양동,41279,20790,20489
2022,단원구,고잔동,21080,10559,10521
2022,단원구,대부동,9240,4871,4369
2022,단원구,백운동,21241,10668,10573
2022,단원구,선부1동,17348,8819,8529
2022,단원구,선부2동,15627,8417,7210
2022,단원구,선부3동,34057,17505,16552
2022,단원구,신길동,22080,11849,10231
2022,단원구,와동,37519,19904,17615
2022,단원구,원곡동,5908,3365,2543
2022,단원구,중앙동,23298,11574,11724
2022,단원구,초지동,46508,23912,22596
2022,단원구,호수동,43090,21686,21404
2022,상록구,반월동,17162,8636,8526
2022,상록구,본오1동,36756,19097,17659
2022,상록구,본오2동,25570,12667,12903
2022,상록구,본오3동,19210,9563,9647
2022,상록구,부곡동,21327,10950,10377
2022,상록구,사동,31670,16661,15009
2022,상록구,사이동,31838,16102,15736
2022,상록구,성포동,25562,12480,13082
2022,상록구,안산동,8898,4672,4226
2022,상록구,월피동,37580,19166,18414
2022,상록구,이동,23515,12657,10858
2022,상록구,일동,24413,12444,11969
2022,상록구,해양동,41163,20716,20447
2023,단원구,고잔동,20396,10135,10261
2023,단원구,대부동,9205,4819,4386
2023,단원구,백운동,24221,12166,12055
2023,단원구,선부1동,17072,8695,8377
2023,단원구,선부2동,14734,7949,6785
2023,단원구,선부3동,33122,17004,16118
2023,단원구,신길동,21222,11399,9823
2023,단원구,와동,36697,19542,17155
2023,단원구,원곡동,5613,3182,2431
2023,단원구,중앙동,23549,11759,11790
2023,단원구,초지동,45838,23428,22410
2023,단원구,호수동,42772,21527,21245
2023,상록구,반월동,16831,8476,8355
2023,상록구,본오1동,35589,18515,17074
2023,상록구,본오2동,24928,12238,12690
2023,상록구,본오3동,18627,9292,9335
2023,상록구,부곡동,20808,10673,10135
2023,상록구,사동,30099,15812,14287
2023,상록구,사이동,31111,15732,15379
2023,상록구,성포동,25096,12238,12858
2023,상록구,안산동,8674,4568,4106
2023,상록구,월피동,36464,18638,17826
